session_id,T,Interviewer mentions 30 minutes / half an hour,Participant mentions 30 minutes / half an hour,"Participant mentions before any interviewer mention, or without one",Participant mentions after an interviewer mention
MI-MAINEXP-17125724,0,False,False,False,False
MI-MAINEXP-17155638,2,False,False,False,False
MI-MAINEXP-17189455,3,True,True,False,True
MI-MAINEXP-17285331,0,True,True,True,True
MI-MAINEXP-17312665,3,True,True,False,True
MI-MAINEXP-17383011,2,False,False,False,False
MI-MAINEXP-17423091,1,False,False,False,False
MI-MAINEXP-17477149,3,True,False,False,False
MI-MAINEXP-17483628,1,False,False,False,False
MI-MAINEXP-17552490,1,False,False,False,False
MI-MAINEXP-17574198,1,False,False,False,False
MI-MAINEXP-1758850,2,False,False,False,False
MI-MAINEXP-17600923,2,False,False,False,False
MI-MAINEXP-17624341,1,False,False,False,False
MI-MAINEXP-17718275,2,False,False,False,False
MI-MAINEXP-17718432,2,False,False,False,False
MI-MAINEXP-17784326,0,True,True,True,True
MI-MAINEXP-17795866,0,True,True,True,True
MI-MAINEXP-17808329,0,False,False,False,False
MI-MAINEXP-17850780,0,False,False,False,False
MI-MAINEXP-17863867,3,True,False,False,False
MI-MAINEXP-17918700,3,True,True,True,False
MI-MAINEXP-17957435,2,False,False,False,False
MI-MAINEXP-17969204,2,False,False,False,False
MI-MAINEXP-1802539,3,True,False,False,False
MI-MAINEXP-18037615,2,False,False,False,False
MI-MAINEXP-18076045,3,True,True,False,True
MI-MAINEXP-18086633,0,False,False,False,False
MI-MAINEXP-18103171,0,False,False,False,False
MI-MAINEXP-18146057,1,True,True,True,False
MI-MAINEXP-18179143,3,True,True,False,True
MI-MAINEXP-18262974,1,False,False,False,False
MI-MAINEXP-1827030,3,False,False,False,False
MI-MAINEXP-18296398,2,False,False,False,False
MI-MAINEXP-18298374,2,False,False,False,False
MI-MAINEXP-18315693,1,False,False,False,False
MI-MAINEXP-1837041,2,False,False,False,False
MI-MAINEXP-18420716,0,False,False,False,False
MI-MAINEXP-18475067,3,True,False,False,False
MI-MAINEXP-18501520,0,False,False,False,False
MI-MAINEXP-18556794,2,False,False,False,False
MI-MAINEXP-18584480,2,False,False,False,False
MI-MAINEXP-18588814,3,True,True,True,False
MI-MAINEXP-18612871,3,True,False,False,False
MI-MAINEXP-18651835,1,False,False,False,False
MI-MAINEXP-18654168,0,False,False,False,False
MI-MAINEXP-18711634,2,False,False,False,False
MI-MAINEXP-1873046,0,False,False,False,False
MI-MAINEXP-18737257,0,False,False,False,False
MI-MAINEXP-18739947,2,False,False,False,False
MI-MAINEXP-18748870,2,False,False,False,False
MI-MAINEXP-18754108,2,False,True,True,False
MI-MAINEXP-18844011,0,False,False,False,False
MI-MAINEXP-18867355,1,False,False,False,False
MI-MAINEXP-18867880,1,False,False,False,False
MI-MAINEXP-18888007,1,False,False,False,False
MI-MAINEXP-18890216,0,False,False,False,False
MI-MAINEXP-19014682,2,False,False,False,False
MI-MAINEXP-19028060,0,False,False,False,False
MI-MAINEXP-19029592,3,True,False,False,False
MI-MAINEXP-19058579,3,False,False,False,False
MI-MAINEXP-19083364,0,True,True,True,False
MI-MAINEXP-19111570,3,False,False,False,False
MI-MAINEXP-19184528,2,False,False,False,False
MI-MAINEXP-19202461,3,False,False,False,False
MI-MAINEXP-19267826,1,False,False,False,False
MI-MAINEXP-1932396,2,False,False,False,False
MI-MAINEXP-19326009,1,False,False,False,False
MI-MAINEXP-19337813,3,False,False,False,False
MI-MAINEXP-1936312,0,True,False,False,False
MI-MAINEXP-19375711,1,False,False,False,False
MI-MAINEXP-19399108,1,False,False,False,False
MI-MAINEXP-19473906,3,True,False,False,False
MI-MAINEXP-19553160,2,False,False,False,False
MI-MAINEXP-19759079,3,True,True,False,True
MI-MAINEXP-19782205,2,False,False,False,False
MI-MAINEXP-19800182,0,True,False,False,False
MI-MAINEXP-19828723,2,False,False,False,False
MI-MAINEXP-19840889,1,False,False,False,False
MI-MAINEXP-19848590,2,False,False,False,False
MI-MAINEXP-1985326,2,False,False,False,False
MI-MAINEXP-19966578,2,False,True,True,False
MI-MAINEXP-19967229,3,True,True,False,True
MI-MAINEXP-20011079,3,True,True,False,True
MI-MAINEXP-20020906,1,False,False,False,False
MI-MAINEXP-20036784,0,False,False,False,False
MI-MAINEXP-20065989,0,False,False,False,False
MI-MAINEXP-20109540,0,False,False,False,False
MI-MAINEXP-20136979,3,True,False,False,False
MI-MAINEXP-20146123,0,False,False,False,False
MI-MAINEXP-20148682,3,True,True,False,True
MI-MAINEXP-20162785,3,False,False,False,False
MI-MAINEXP-20179369,0,False,True,True,False
MI-MAINEXP-20270522,2,False,False,False,False
MI-MAINEXP-20273028,2,False,False,False,False
MI-MAINEXP-20281538,0,False,False,False,False
MI-MAINEXP-20287832,2,False,False,False,False
MI-MAINEXP-20290386,2,False,False,False,False
MI-MAINEXP-20323770,0,False,False,False,False
MI-MAINEXP-20391964,2,False,False,False,False
MI-MAINEXP-20397977,2,False,False,False,False
MI-MAINEXP-20408338,0,False,False,False,False
MI-MAINEXP-2041438,1,False,False,False,False
MI-MAINEXP-20451569,3,True,True,False,True
MI-MAINEXP-20491381,2,False,False,False,False
MI-MAINEXP-20498742,2,False,False,False,False
MI-MAINEXP-20567796,2,False,True,True,False
MI-MAINEXP-20583114,1,False,False,False,False
MI-MAINEXP-20641483,0,True,True,True,False
