arm,ngram,term,delta,z,freq_in_arm
TIME_USE,1,work,0.8538720523953582,36.55316310127801,2903.0
TIME_USE,1,across,3.0050636669821653,35.43025178837419,846.0
TIME_USE,1,breakfast,3.972788070480009,34.37815780424756,1076.0
TIME_USE,1,waking,3.2380734898618257,34.24353281630629,830.0
TIME_USE,1,started,2.903836409040636,33.51890069546343,746.0
TIME_USE,1,steady,2.686507943029282,33.4792169109416,730.0
TIME_USE,1,running,3.2446207194054306,33.37747694274694,790.0
TIME_USE,1,steps,2.4921740511469395,33.103026616740856,714.0
TIME_USE,1,learn,2.389232584585569,32.95092098871966,713.0
TIME_USE,1,home,1.5774549029061935,32.32129999201542,931.0
TIME_USE,1,interview,1.2226691146487436,32.23560900741999,1287.0
TIME_USE,1,evenings,0.9295068171026006,31.322008485109585,1854.0
TIME_USE,1,coffee,3.799896928377194,31.147072356951316,824.0
TIME_USE,1,rely,1.6244598814270024,30.920697294529443,825.0
TIME_USE,1,sometimes,1.5580111524079232,30.680257741934383,851.0
TIME_USE,1,lunch,2.224394876897156,29.49808637846586,586.0
TIME_USE,1,compared,3.55291125044738,29.344597657274026,669.0
TIME_USE,1,walking,4.293617528045157,29.3391200318056,908.0
TIME_USE,1,watching,2.044857163753923,28.179794955085423,560.0
TIME_USE,1,weekdays,5.06209627686442,28.12306716745713,1256.0
TIME_USE,1,wake,2.431914741673298,27.384638492736755,491.0
TIME_USE,1,flow,4.534038686816757,27.06867775333535,872.0
TIME_USE,1,consistent,3.1669427608071388,26.99383497015398,508.0
TIME_USE,1,midday,4.713738599262383,26.70249312344521,933.0
TIME_USE,1,walk,2.6759078520280735,26.39115402233801,454.0
TIME_USE,1,watch,2.5959063991358686,26.383810656308498,453.0
T4_CLEAR_PERSUASION,1,focus,2.3924896354037486,66.17198066232486,4759.0
T4_CLEAR_PERSUASION,1,sleep,1.6380206989147317,56.53123760716506,4125.0
T4_CLEAR_PERSUASION,1,minutes,2.278597870735851,55.59650491754313,3383.0
T4_CLEAR_PERSUASION,1,next,2.2255071973619245,54.89598113669095,3311.0
T4_CLEAR_PERSUASION,1,people,1.8029783736427945,50.839441155661966,3112.0
T4_CLEAR_PERSUASION,1,others,3.1799528297906914,47.64617939969442,2818.0
T4_CLEAR_PERSUASION,1,main,1.7793113489424552,43.50807990597566,2304.0
T4_CLEAR_PERSUASION,1,biggest,1.699243911157314,42.16616406355808,2238.0
T4_CLEAR_PERSUASION,1,daily,1.905828787557292,40.83020565095074,1947.0
T4_CLEAR_PERSUASION,1,apps,2.3652523713097597,39.88707663554327,1745.0
T4_CLEAR_PERSUASION,1,weeks,5.740588361162056,38.11962937669732,6540.0
T4_CLEAR_PERSUASION,1,set,1.5315501092767665,37.95052936924879,1983.0
T4_CLEAR_PERSUASION,1,losing,2.8118202915618884,36.376766235304224,1512.0
T4_CLEAR_PERSUASION,1,checking,1.3326522578324465,36.11361309723695,2076.0
T4_CLEAR_PERSUASION,1,least,3.1578985298988993,35.588645888119856,1569.0
T4_CLEAR_PERSUASION,1,better,1.4252950210488518,35.24547782727873,1838.0
T4_CLEAR_PERSUASION,1,exactly,2.407441375849027,33.881323317700065,1261.0
T4_CLEAR_PERSUASION,1,break,1.5945595330760725,33.7461281706315,1513.0
T4_CLEAR_PERSUASION,1,minute,2.5468140919032916,33.73639662871043,1258.0
T4_CLEAR_PERSUASION,1,app,2.099440574080509,33.07317946188924,1227.0
T4_CLEAR_PERSUASION,1,plan,0.9954315794485992,33.0103002007506,2532.0
T4_CLEAR_PERSUASION,1,back,0.7959583413927156,32.78095801082465,3502.0
T4_CLEAR_PERSUASION,1,pm,1.7653061015889389,32.765896742859645,1317.0
T4_CLEAR_PERSUASION,1,cut,1.1900721731903072,32.729693470942365,1955.0
T4_CLEAR_PERSUASION,1,benefits,1.813175343273009,32.25807330665073,1254.0
T4_CLEAR_PERSUASION,1,calm,2.459372463285185,32.202536380080744,1141.0
T4_CLEAR_PERSUASION,1,limits,2.0866962739073216,31.363207906087435,1106.0
T4_CLEAR_PERSUASION,1,willpower,2.406437917523336,29.51825413410663,958.0
T4_CLEAR_PERSUASION,1,affecting,2.303371714466774,29.093929863321627,932.0
T4_CLEAR_PERSUASION,1,limit,1.6486077621451614,29.023934291092967,1089.0
T4_CLEAR_PERSUASION,1,youtube,1.1299727755107494,28.79259800739506,1619.0
T4_CLEAR_PERSUASION,1,short,1.719124317939437,28.66343918182963,1028.0
T4_CLEAR_PERSUASION,1,many,2.418262184613912,28.49397632893308,893.0
T4_CLEAR_PERSUASION,1,reddit,1.924226317301436,28.40620034866678,940.0
T4_CLEAR_PERSUASION,1,quality,2.805757590507747,28.28575748317309,915.0
T4_CLEAR_PERSUASION,1,rule,4.65073491995741,28.185921294557335,1890.0
T4_CLEAR_PERSUASION,1,research,4.169187137462327,27.80048959911215,1433.0
T4_CLEAR_PERSUASION,1,suggests,2.4438677088573098,27.77284672648885,849.0
T4_CLEAR_PERSUASION,1,stressed,2.497317916798117,27.145700992091584,813.0
T4_CLEAR_PERSUASION,1,serious,4.100091331974761,26.960529049418387,1304.0
T4_CLEAR_PERSUASION,1,studies,3.120636260721618,26.92798485901976,891.0
T4_CLEAR_PERSUASION,1,spare,3.2106862063607977,26.759941145378715,903.0
T4_CLEAR_PERSUASION,1,worse,2.52972575764022,26.748463756432876,791.0
T4_CLEAR_PERSUASION,1,stop,1.6809887272621076,26.408250289702032,888.0
T4_CLEAR_PERSUASION,1,heavy,2.4556868007213506,26.216248277402105,757.0
T4_CLEAR_PERSUASION,2,time with,2.7544780924693733,64.46553026759453,4612.0
T4_CLEAR_PERSUASION,2,the next,2.6944150022507536,54.0160072327859,3220.0
T4_CLEAR_PERSUASION,2,the main,1.868463616563954,42.93973804067208,2154.0
T4_CLEAR_PERSUASION,2,sleep and,1.8593825672634685,35.940058664728205,1515.0
T4_CLEAR_PERSUASION,2,at least,3.227250407990466,35.41501010074231,1565.0
T4_CLEAR_PERSUASION,2,or time,4.610561579844854,33.61290041242223,2589.0
T4_CLEAR_PERSUASION,2,your focus,2.3172714427639427,31.439842278296272,1074.0
T4_CLEAR_PERSUASION,2,with others,4.978614914728658,31.425029195129376,2785.0
T4_CLEAR_PERSUASION,2,the biggest,1.3037417940065996,30.108102437278077,1468.0
T4_CLEAR_PERSUASION,2,break from,3.4785250350452177,28.60809048987179,1112.0
T4_CLEAR_PERSUASION,2,during work,3.0765160500448676,27.5359426545347,908.0
T4_CLEAR_PERSUASION,2,screen time,1.9566118758767104,27.44175084659218,860.0
T4_CLEAR_PERSUASION,2,from social,1.8194239719172616,27.40866836960214,894.0
T4_CLEAR_PERSUASION,2,to set,2.88764455586187,27.023336691313673,837.0
T4_CLEAR_PERSUASION,2,your sleep,1.5661000612534703,25.632113065452735,879.0
T4_CLEAR_PERSUASION,2,the evening,1.4335820523898877,25.627558896151555,958.0
T4_CLEAR_PERSUASION,2,to stop,2.3517738248316906,25.56470338333557,710.0
T4_CLEAR_PERSUASION,2,media or,2.481067805804986,25.558599294566807,711.0
T4_CLEAR_PERSUASION,2,fit your,2.4014641697368333,25.45907987108424,704.0
T4_CLEAR_PERSUASION,2,spending more,2.2059552211900346,25.445175910637673,709.0
T4_CLEAR_PERSUASION,2,notice it,2.5304379630554035,25.415326299030053,705.0
T4_CLEAR_PERSUASION,2,and spending,2.7403681164421414,25.15924548803037,707.0
T4_CLEAR_PERSUASION,2,quality time,3.544150096030844,25.004909830811503,871.0
T4_CLEAR_PERSUASION,2,time at,2.7713043928130237,24.812249554738983,691.0
T4_CLEAR_PERSUASION,2,minutes day,3.09767329707425,24.716834584104625,736.0
T4_CLEAR_PERSUASION,2,people who,3.0295121216648297,24.610613788797306,717.0
T4_CLEAR_PERSUASION,2,set the,3.851996000768894,24.379376098054788,939.0
T4_CLEAR_PERSUASION,2,and family,1.5113213384621478,24.30103785033983,817.0
T4_CLEAR_PERSUASION,2,at work,1.3891275813747832,24.151982784459705,880.0
T4_CLEAR_PERSUASION,2,summary of,1.7804733068099026,24.144706861106272,704.0
T1_MI_CHANGE,2,your social,1.0634682209163433,53.31050867009966,4776.0
T1_MI_CHANGE,2,you want,1.2222679888244734,52.965427571165385,3864.0
T1_MI_CHANGE,2,to reduce,1.510089272428594,43.90061678999438,2043.0
T1_MI_CHANGE,2,media use,1.169883865900884,42.68864249038379,2672.0
T1_MI_CHANGE,2,on social,1.367823365767757,38.78455265035865,1793.0
T1_MI_CHANGE,2,media time,1.2720434604382067,37.41542653895343,1832.0
T1_MI_CHANGE,2,reducing your,2.3982273019945275,35.54241159940461,979.0
T1_MI_CHANGE,2,person you,1.6396683823199505,35.40034920304219,1220.0
T1_MI_CHANGE,2,your life,1.6638222670248446,33.83537721060166,1099.0
T1_MI_CHANGE,2,time in,1.938626362874924,32.523437458711385,896.0
T1_MI_CHANGE,2,you've noticed,1.74737163975907,31.60515113794404,917.0
T1_MI_CHANGE,2,like zero,1.231237872487549,29.980885304438516,1230.0
T1_MI_CHANGE,2,lower number,1.227682069240123,29.93404771034034,1231.0
T1_MI_CHANGE,2,reduce your,1.0772975596389642,29.62288627562035,1452.0
T1_MI_CHANGE,2,you decided,1.3662994399335986,29.529782022250657,1042.0
T1_MI_CHANGE,2,decided to,1.3351166797810308,29.3405696234845,1059.0
T1_MI_CHANGE,2,not lower,1.1440642324699155,28.505101474265857,1232.0
T1_MI_CHANGE,2,of person,1.419256022820461,27.818861993344488,883.0
T1_MI_CHANGE,2,matters to,1.765243906618858,27.7692958461111,702.0
T1_MI_CHANGE,2,you successfully,2.1116095282584677,27.672900062296833,618.0
T1_MI_CHANGE,2,this conversation,2.878335025260345,27.24596831951008,591.0
T1_MI_CHANGE,2,changed habit,2.8201507441860656,27.196646430638403,584.0
T1_MI_CHANGE,2,typical day,3.147538808862853,26.83305387248472,605.0
T1_MI_CHANGE,2,you from,2.21976827992434,26.637036852064774,561.0
T1_MI_CHANGE,2,most important,4.802863521275873,26.41743500641575,1188.0
T1_MI_CHANGE,2,want to,0.6567184237038379,26.28000214667143,2566.0
T1_MI_CHANGE,2,from this,3.050998922575136,24.88280520138988,509.0
T1_MI_CHANGE,2,spend on,1.2526966974331517,24.88075831986935,828.0
T1_MI_CHANGE,2,change and,3.1152486485734165,24.312133712712782,493.0
T1_MI_CHANGE,2,leaves you,1.5516998463371383,23.568623073962453,573.0
T2_MI_AMBIVALENCE,2,same time,3.209428849762835,49.741446959097885,2232.0
T2_MI_AMBIVALENCE,2,number like,1.621628849756588,45.176280526278994,2092.0
T2_MI_AMBIVALENCE,2,media use,0.9885483555199652,36.024821376519306,2522.0
